last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Wainwright, Adam,425794,2021,0.251,0.388,0.302,0.305,0.137,88.2,10,6.2
Greinke, Zack,425844,2021,0.266,0.43,0.32,0.307,0.164,88.3,10.6,6.5
Morton, Charlie,450203,2021,0.217,0.332,0.282,0.296,0.115,88.1,7.7,4.9
Scherzer, Max,453286,2021,0.196,0.353,0.263,0.249,0.157,87.9,19.3,8
Miley, Wade,489119,2021,0.252,0.398,0.312,0.311,0.146,85.7,8,6.1
Gibson, Kyle,502043,2021,0.241,0.368,0.302,0.314,0.127,88.8,7.4,4.9
Darvish, Yu,506433,2021,0.208,0.376,0.282,0.27,0.168,88.2,16.6,8.8
Anderson, Tyler,542881,2021,0.259,0.425,0.315,0.301,0.166,87,18.2,8.5
Cole, Gerrit,543037,2021,0.209,0.369,0.273,0.257,0.16,88.7,12.5,9.8
DeSclafani, Anthony,543101,2021,0.241,0.41,0.304,0.291,0.169,88.9,11.6,8.1
Eovaldi, Nathan,543135,2021,0.239,0.366,0.283,0.281,0.127,88,12.8,6.3
Hendricks, Kyle,543294,2021,0.276,0.455,0.339,0.329,0.179,86.3,11.1,8.4
Lyles, Jordan,543475,2021,0.275,0.482,0.351,0.334,0.207,89.9,15.3,9.1
Ryu, Hyun Jin,547943,2021,0.265,0.44,0.323,0.306,0.175,89.6,9.8,8.5
Wheeler, Zack,554430,2021,0.215,0.318,0.259,0.265,0.103,84.6,8.4,4.6
Corbin, Patrick,571578,2021,0.282,0.493,0.358,0.343,0.211,89.4,9,9.2
Keuchel, Dallas,572971,2021,0.302,0.493,0.372,0.366,0.191,88.3,5,9
Stroman, Marcus,573186,2021,0.262,0.418,0.318,0.313,0.156,89.1,6.3,6.5
Gausman, Kevin,592332,2021,0.231,0.381,0.29,0.284,0.151,89.1,12.1,7.1
Ray, Robbie,592662,2021,0.219,0.398,0.293,0.276,0.18,90.4,17.6,9.8
Montas, Frankie,593423,2021,0.237,0.404,0.307,0.3,0.167,89.3,11.6,8.7
Musgrove, Joe,605397,2021,0.236,0.387,0.304,0.309,0.151,87.8,11.6,7.2
Nola, Aaron,605400,2021,0.223,0.378,0.283,0.273,0.155,88.9,14.4,7.1
Woodruff, Brandon,605540,2021,0.226,0.353,0.28,0.281,0.127,86.2,10.6,5.8
Fried, Max,608331,2021,0.234,0.364,0.288,0.289,0.13,86.5,6.1,6.3
Giolito, Lucas,608337,2021,0.221,0.362,0.28,0.278,0.141,87.7,18.3,6.7
Irvin, Cole,608344,2021,0.281,0.446,0.338,0.331,0.164,89.3,16.2,7.3
Marquez, German,608566,2021,0.25,0.39,0.31,0.319,0.14,88.9,5.2,5.3
Buehler, Walker,621111,2021,0.218,0.345,0.272,0.274,0.127,88.2,11.1,6.8
McCullers Jr., Lance,621121,2021,0.208,0.315,0.285,0.308,0.106,89.8,5.1,5.3
Berrios, Jose,621244,2021,0.242,0.407,0.311,0.301,0.166,88.4,12.4,9.1
Castillo, Luis,622491,2021,0.233,0.347,0.294,0.312,0.115,87.7,4.2,4.5
Flexen, Chris,623167,2021,0.261,0.427,0.317,0.305,0.166,89.5,11.5,6.3
Urias, Julio,628711,2021,0.219,0.36,0.273,0.266,0.141,86,15.5,5.3
Manaea, Sean,640455,2021,0.249,0.419,0.312,0.3,0.17,90.2,13.3,8
Mahle, Tyler,641816,2021,0.229,0.363,0.298,0.305,0.134,87.8,13.3,6.5
Alcantara, Sandy,645261,2021,0.232,0.369,0.288,0.287,0.136,87.6,4.5,6.1
Cease, Dylan,656302,2021,0.21,0.364,0.295,0.297,0.154,89.2,18.5,9.9
Burnes, Corbin,669203,2021,0.18,0.256,0.219,0.23,0.076,85.5,8.4,3.1
